,date,open,close,high,low,volume,amount,turnoverratio,code
0,2023-02-03 09:45,79.22,78.36,79.22,78.28,13037.23,{},2.8135,603288
1,2023-02-03 10:00,78.36,78.35,78.47,78.03,6241.71,{},1.3470,603288
2,2023-02-03 10:15,78.35,78.23,78.4,78.09,3520.5,{},0.7597,603288
3,2023-02-03 10:30,78.28,78.33,78.74,78.27,2115.85,{},0.4566,603288
4,2023-02-03 10:45,78.35,78.01,78.37,78.0,7119.43,{},1.5364,603288
5,2023-02-03 11:00,78.01,78.14,78.16,78.0,3499.15,{},0.7551,603288
6,2023-02-03 11:15,78.14,78.03,78.45,78.01,2424.91,{},0.5233,603288
7,2023-02-03 11:30,78.03,78.53,78.55,78.03,1584.61,{},0.3420,603288
8,2023-02-03 13:15,78.56,79.0,79.01,78.48,3137.4,{},0.6771,603288
9,2023-02-03 13:30,79.0,78.86,79.1,78.75,2294.35,{},0.4951,603288
10,2023-02-03 13:45,78.88,78.99,79.18,78.85,1948.7,{},0.4205,603288
11,2023-02-03 14:00,78.99,78.77,78.99,78.71,2098.6,{},0.4529,603288
12,2023-02-03 14:15,78.77,78.91,78.92,78.68,2491.54,{},0.5377,603288
13,2023-02-03 14:30,78.91,78.92,78.95,78.76,2218.55,{},0.4788,603288
14,2023-02-03 14:45,78.92,78.69,78.93,78.61,2846.03,{},0.6142,603288
15,2023-02-03 15:00,78.69,78.59,78.8,78.59,5213.24,{},1.1250,603288
16,2023-02-06 09:45,77.97,77.16,77.97,77.13,10968.88,{},2.3671,603288
17,2023-02-06 10:00,77.15,78.05,78.38,77.15,4219.21,{},0.9105,603288
18,2023-02-06 10:15,78.03,78.09,78.34,77.77,4604.32,{},0.9936,603288
19,2023-02-06 10:30,78.08,77.98,78.13,77.8,2660.12,{},0.5741,603288
20,2023-02-06 10:45,77.98,77.99,78.19,77.97,1523.96,{},0.3289,603288
21,2023-02-06 11:00,77.99,77.92,78.0,77.71,1925.09,{},0.4154,603288
22,2023-02-06 11:15,77.92,77.98,77.99,77.89,1405.79,{},0.3034,603288
23,2023-02-06 11:30,77.97,78.05,78.13,77.93,1766.56,{},0.3812,603288
24,2023-02-06 13:15,78.05,78.38,78.5,78.05,2190.09,{},0.4726,603288
25,2023-02-06 13:30,78.38,77.96,78.38,77.93,1632.17,{},0.3522,603288
26,2023-02-06 13:45,77.97,78.26,78.39,77.92,1729.78,{},0.3733,603288
27,2023-02-06 14:00,78.26,78.37,78.48,78.21,2297.64,{},0.4958,603288
28,2023-02-06 14:15,78.38,78.27,78.4,78.25,1358.92,{},0.2933,603288
29,2023-02-06 14:30,78.28,78.11,78.32,78.11,1528.54,{},0.3299,603288
30,2023-02-06 14:45,78.11,78.29,78.31,78.09,2827.1,{},0.6101,603288
31,2023-02-06 15:00,78.3,78.6,78.6,78.22,6017.22,{},1.2985,603288
32,2023-02-07 09:45,78.98,78.48,78.99,78.21,5175.99,{},1.1170,603288
33,2023-02-07 10:00,78.47,78.29,78.63,78.28,3031.13,{},0.6541,603288
34,2023-02-07 10:15,78.3,78.34,78.65,78.3,3156.89,{},0.6813,603288
35,2023-02-07 10:30,78.34,78.32,78.38,78.24,2849.3,{},0.6149,603288
36,2023-02-07 10:45,78.38,78.32,78.49,78.28,2327.3,{},0.5022,603288
37,2023-02-07 11:00,78.32,78.07,78.35,78.05,2526.5,{},0.5452,603288
38,2023-02-07 11:15,78.07,78.03,78.3,78.0,2129.73,{},0.4596,603288
39,2023-02-07 11:30,78.02,78.09,78.18,77.9,2269.73,{},0.4898,603288
40,2023-02-07 13:15,78.09,78.0,78.09,77.95,1540.11,{},0.3324,603288
41,2023-02-07 13:30,78.0,78.1,78.16,78.0,1159.56,{},0.2502,603288
42,2023-02-07 13:45,78.1,77.99,78.11,77.99,1218.54,{},0.2630,603288
43,2023-02-07 14:00,77.99,77.97,78.07,77.92,1666.13,{},0.3596,603288
44,2023-02-07 14:15,77.98,78.06,78.06,77.96,821.63,{},0.1773,603288
45,2023-02-07 14:30,78.05,78.21,78.28,78.04,1273.44,{},0.2748,603288
46,2023-02-07 14:45,78.2,78.15,78.27,78.13,1444.81,{},0.3118,603288
47,2023-02-07 15:00,78.15,78.13,78.28,78.13,3156.93,{},0.6813,603288
48,2023-02-08 09:45,78.13,78.11,78.8,78.0,4141.1,{},0.8937,603288
49,2023-02-08 10:00,78.11,77.8,78.11,77.61,3802.06,{},0.8205,603288
50,2023-02-08 10:15,77.8,77.78,77.98,77.68,4017.4,{},0.8670,603288
51,2023-02-08 10:30,77.78,77.53,77.78,77.5,4534.0,{},0.9785,603288
52,2023-02-08 10:45,77.53,77.62,77.75,77.51,2323.1,{},0.5013,603288
53,2023-02-08 11:00,77.62,77.8,77.8,77.52,1856.43,{},0.4006,603288
54,2023-02-08 11:15,77.8,77.81,77.85,77.69,1147.1,{},0.2475,603288
55,2023-02-08 11:30,77.81,77.74,77.85,77.74,1062.6,{},0.2293,603288
56,2023-02-08 13:15,77.74,77.45,77.76,77.4,4888.0,{},1.0549,603288
57,2023-02-08 13:30,77.45,77.38,77.45,77.3,3094.09,{},0.6677,603288
58,2023-02-08 13:45,77.38,77.21,77.39,77.2,3481.37,{},0.7513,603288
59,2023-02-08 14:00,77.22,77.25,77.29,77.21,1942.54,{},0.4192,603288
60,2023-02-08 14:15,77.25,77.29,77.39,77.2,2494.51,{},0.5383,603288
61,2023-02-08 14:30,77.27,77.28,77.31,77.19,2761.0,{},0.5958,603288
62,2023-02-08 14:45,77.28,77.29,77.38,77.25,1668.1,{},0.3600,603288
63,2023-02-08 15:00,77.28,77.3,77.3,77.18,3998.94,{},0.8630,603288
64,2023-02-09 09:45,77.17,77.41,77.5,77.03,6044.58,{},1.3044,603288
65,2023-02-09 10:00,77.39,77.72,77.79,77.33,3918.34,{},0.8456,603288
66,2023-02-09 10:15,77.72,77.78,78.08,77.72,5079.8,{},1.0962,603288
67,2023-02-09 10:30,77.78,78.0,78.0,77.78,2401.0,{},0.5181,603288
68,2023-02-09 10:45,78.0,77.71,78.0,77.67,2100.2,{},0.4532,603288
69,2023-02-09 11:00,77.7,77.65,77.7,77.55,2472.94,{},0.5337,603288
70,2023-02-09 11:15,77.66,77.53,77.77,77.5,1635.2,{},0.3529,603288
71,2023-02-09 11:30,77.53,77.63,77.66,77.5,1172.58,{},0.2530,603288
72,2023-02-09 13:15,77.63,77.61,77.75,77.6,1478.7,{},0.3191,603288
73,2023-02-09 13:30,77.61,77.77,77.85,77.59,1554.54,{},0.3355,603288
74,2023-02-09 13:45,77.77,77.77,77.84,77.72,1335.17,{},0.2881,603288
75,2023-02-09 14:00,77.77,77.89,77.91,77.77,2137.2,{},0.4612,603288
76,2023-02-09 14:15,77.85,77.81,77.92,77.77,2206.36,{},0.4761,603288
77,2023-02-09 14:30,77.81,77.77,77.82,77.74,1416.23,{},0.3056,603288
78,2023-02-09 14:45,77.77,77.79,77.8,77.76,2064.26,{},0.4455,603288
79,2023-02-09 15:00,77.78,77.82,77.85,77.78,4435.66,{},0.9572,603288
80,2023-02-10 09:45,77.7,77.37,77.86,77.29,5770.59,{},1.2453,603288
81,2023-02-10 10:00,77.37,77.31,77.5,77.23,5499.4,{},1.1868,603288
82,2023-02-10 10:15,77.31,77.26,77.34,77.24,2174.82,{},0.4693,603288
83,2023-02-10 10:30,77.26,77.2,77.29,77.2,2422.3,{},0.5227,603288
84,2023-02-10 10:45,77.2,77.11,77.2,77.04,4500.7,{},0.9713,603288
85,2023-02-10 11:00,77.11,77.45,77.53,77.1,3233.71,{},0.6978,603288
86,2023-02-10 11:15,77.45,77.06,77.45,77.04,2797.68,{},0.6038,603288
87,2023-02-10 11:30,77.06,77.04,77.12,77.03,2035.02,{},0.4392,603288
88,2023-02-10 13:15,77.03,77.02,77.2,77.0,4075.23,{},0.8795,603288
89,2023-02-10 13:30,77.03,77.06,77.07,77.01,2105.38,{},0.4543,603288
90,2023-02-10 13:45,77.07,77.14,77.18,77.06,1469.83,{},0.3172,603288
91,2023-02-10 14:00,77.14,77.4,77.45,77.1,2291.39,{},0.4945,603288
92,2023-02-10 14:15,77.4,77.54,77.6,77.35,2410.0,{},0.5201,603288
93,2023-02-10 14:30,77.54,77.74,77.75,77.47,2298.35,{},0.4960,603288
94,2023-02-10 14:45,77.74,77.7,77.75,77.67,1908.76,{},0.4119,603288
95,2023-02-10 15:00,77.71,77.7,77.81,77.68,3839.84,{},0.8287,603288
96,2023-02-13 09:45,76.87,78.2,78.7,76.87,14284.93,{},3.0827,603288
97,2023-02-13 10:00,78.22,78.16,78.37,77.9,6107.78,{},1.3181,603288
98,2023-02-13 10:15,78.15,77.71,78.16,77.36,4960.45,{},1.0705,603288
99,2023-02-13 10:30,77.7,78.05,78.06,77.7,2413.98,{},0.5209,603288
100,2023-02-13 10:45,78.05,78.05,78.34,78.0,3324.46,{},0.7174,603288
101,2023-02-13 11:00,77.99,77.96,78.08,77.84,2986.17,{},0.6444,603288
102,2023-02-13 11:15,77.96,78.27,78.3,77.85,2584.75,{},0.5578,603288
103,2023-02-13 11:30,78.28,78.29,78.43,78.09,3050.66,{},0.6583,603288
104,2023-02-13 13:15,78.28,78.58,78.61,78.25,6425.95,{},1.3867,603288
105,2023-02-13 13:30,78.59,78.77,78.88,78.55,8448.74,{},1.8233,603288
106,2023-02-13 13:45,78.77,78.74,78.8,78.66,3101.31,{},0.6693,603288
107,2023-02-13 14:00,78.74,78.69,78.76,78.66,3961.0,{},0.8548,603288
108,2023-02-13 14:15,78.69,78.7,78.72,78.63,3612.0,{},0.7795,603288
109,2023-02-13 14:30,78.7,78.79,78.79,78.7,4547.69,{},0.9814,603288
110,2023-02-13 14:45,78.79,78.89,78.9,78.78,7608.33,{},1.6419,603288
111,2023-02-13 15:00,78.89,78.87,78.9,78.87,7040.69,{},1.5194,603288
112,2023-02-14 09:45,78.9,78.7,79.03,78.5,5744.96,{},1.2398,603288
113,2023-02-14 10:00,78.7,78.9,79.0,78.6,2683.2,{},0.5790,603288
114,2023-02-14 10:15,78.91,78.96,79.18,78.9,3863.19,{},0.8337,603288
115,2023-02-14 10:30,78.96,78.89,78.98,78.66,1947.73,{},0.4203,603288
116,2023-02-14 10:45,78.89,78.58,78.91,78.57,2052.35,{},0.4429,603288
117,2023-02-14 11:00,78.57,78.71,78.75,78.51,1430.58,{},0.3087,603288
118,2023-02-14 11:15,78.71,78.62,78.71,78.62,542.52,{},0.1171,603288
119,2023-02-14 11:30,78.62,78.62,78.64,78.56,757.68,{},0.1635,603288
120,2023-02-14 13:15,78.62,78.58,78.76,78.57,1558.41,{},0.3363,603288
121,2023-02-14 13:30,78.59,78.51,78.59,78.5,2224.91,{},0.4801,603288
122,2023-02-14 13:45,78.51,78.44,78.61,78.4,3260.22,{},0.7036,603288
123,2023-02-14 14:00,78.44,78.39,78.44,78.31,2482.26,{},0.5357,603288
124,2023-02-14 14:15,78.38,78.59,78.6,78.19,2415.74,{},0.5213,603288
125,2023-02-14 14:30,78.59,78.66,78.66,78.5,1261.26,{},0.2722,603288
126,2023-02-14 14:45,78.65,78.78,78.86,78.63,1786.8,{},0.3856,603288
127,2023-02-14 15:00,78.78,78.87,78.87,78.76,3078.77,{},0.6644,603288
128,2023-02-15 09:45,78.8,78.72,79.04,78.47,4109.84,{},0.8869,603288
129,2023-02-15 10:00,78.73,78.35,78.9,78.35,2450.86,{},0.5289,603288
130,2023-02-15 10:15,78.32,78.06,78.43,78.01,3755.98,{},0.8106,603288
131,2023-02-15 10:30,78.05,77.9,78.1,77.8,3977.68,{},0.8584,603288
132,2023-02-15 10:45,77.9,77.75,77.9,77.71,3102.59,{},0.6696,603288
133,2023-02-15 11:00,77.75,77.99,77.99,77.75,1071.01,{},0.2311,603288
134,2023-02-15 11:15,77.97,78.02,78.09,77.93,747.57,{},0.1613,603288
135,2023-02-15 11:30,78.04,78.0,78.28,77.92,944.86,{},0.2039,603288
136,2023-02-15 13:15,78.03,77.95,78.18,77.91,1735.44,{},0.3745,603288
137,2023-02-15 13:30,77.92,77.84,77.92,77.79,2737.15,{},0.5907,603288
138,2023-02-15 13:45,77.84,77.9,77.95,77.81,1381.15,{},0.2981,603288
139,2023-02-15 14:00,77.91,77.87,77.98,77.82,1933.3,{},0.4172,603288
140,2023-02-15 14:15,77.87,77.88,77.95,77.75,2669.15,{},0.5760,603288
141,2023-02-15 14:30,77.88,77.98,78.09,77.86,2458.38,{},0.5305,603288
142,2023-02-15 14:45,77.98,78.1,78.1,77.9,1828.4,{},0.3946,603288
143,2023-02-15 15:00,78.09,78.05,78.12,78.03,2074.1,{},0.4476,603288
144,2023-02-16 09:45,78.62,78.64,78.88,78.06,6837.32,{},1.4755,603288
145,2023-02-16 10:00,78.66,78.95,78.96,78.31,4279.3,{},0.9235,603288
146,2023-02-16 10:15,78.95,78.92,79.1,78.8,5037.25,{},1.0871,603288
147,2023-02-16 10:30,78.91,79.26,79.45,78.91,7693.09,{},1.6602,603288
148,2023-02-16 10:45,79.25,79.22,79.38,79.12,4079.09,{},0.8803,603288
149,2023-02-16 11:00,79.22,79.28,79.35,79.2,2901.95,{},0.6263,603288
150,2023-02-16 11:15,79.28,79.25,79.33,79.16,2664.55,{},0.5750,603288
151,2023-02-16 11:30,79.27,79.28,79.31,79.0,2096.32,{},0.4524,603288
152,2023-02-16 13:15,79.28,79.2,79.34,79.03,1914.65,{},0.4132,603288
153,2023-02-16 13:30,79.2,79.36,79.39,79.18,3578.33,{},0.7722,603288
154,2023-02-16 13:45,79.37,79.08,79.38,79.08,2286.0,{},0.4933,603288
155,2023-02-16 14:00,79.08,79.03,79.12,79.0,2333.8,{},0.5036,603288
156,2023-02-16 14:15,79.03,78.15,79.03,78.08,5709.32,{},1.2321,603288
157,2023-02-16 14:30,78.15,77.98,78.44,77.98,4399.81,{},0.9495,603288
158,2023-02-16 14:45,77.99,77.88,78.14,77.56,5959.04,{},1.2860,603288
159,2023-02-16 15:00,77.94,78.06,78.24,77.85,3650.87,{},0.7879,603288
160,2023-02-17 09:45,78.01,79.45,79.76,77.88,14546.35,{},3.1392,603288
161,2023-02-17 10:00,79.44,79.6,79.6,79.02,7410.36,{},1.5992,603288
162,2023-02-17 10:15,79.62,79.53,79.85,79.15,8369.84,{},1.8062,603288
163,2023-02-17 10:30,79.53,79.97,80.0,79.53,10553.83,{},2.2776,603288
164,2023-02-17 10:45,79.98,79.6,79.98,79.55,2860.09,{},0.6172,603288
165,2023-02-17 11:00,79.6,79.76,79.85,79.45,3735.4,{},0.8061,603288
166,2023-02-17 11:15,79.73,79.47,80.0,79.47,3673.88,{},0.7928,603288
167,2023-02-17 11:30,79.47,79.49,79.71,79.47,1675.01,{},0.3615,603288
168,2023-02-17 13:15,79.51,79.72,79.89,79.46,4752.47,{},1.0256,603288
169,2023-02-17 13:30,79.72,79.6,79.81,79.49,2694.03,{},0.5814,603288
170,2023-02-17 13:45,79.67,79.26,79.68,79.2,3663.83,{},0.7907,603288
171,2023-02-17 14:00,79.27,79.5,79.52,79.26,3132.53,{},0.6760,603288
172,2023-02-17 14:15,79.45,79.11,79.48,79.06,4584.57,{},0.9894,603288
173,2023-02-17 14:30,79.1,78.51,79.11,78.38,5853.47,{},1.2632,603288
174,2023-02-17 14:45,78.51,78.43,78.63,78.39,4480.86,{},0.9670,603288
175,2023-02-17 15:00,78.43,78.3,78.64,78.02,7478.72,{},1.6139,603288
176,2023-02-20 09:45,78.0,78.4,78.6,78.0,5958.19,{},1.2858,603288
177,2023-02-20 10:00,78.4,77.72,78.4,77.69,7166.26,{},1.5465,603288
178,2023-02-20 10:15,77.71,77.95,78.07,77.6,4226.09,{},0.9120,603288
179,2023-02-20 10:30,77.94,77.82,78.03,77.78,1875.07,{},0.4046,603288
180,2023-02-20 10:45,77.82,77.97,78.06,77.82,1609.22,{},0.3473,603288
181,2023-02-20 11:00,77.97,78.42,78.59,77.96,2765.77,{},0.5969,603288
182,2023-02-20 11:15,78.4,78.48,78.5,78.3,1504.2,{},0.3246,603288
183,2023-02-20 11:30,78.48,78.55,78.55,78.28,1543.6,{},0.3331,603288
184,2023-02-20 13:15,78.56,78.3,78.77,78.28,2648.63,{},0.5716,603288
185,2023-02-20 13:30,78.3,78.63,78.66,78.28,1351.87,{},0.2917,603288
186,2023-02-20 13:45,78.64,78.93,79.0,78.55,2637.55,{},0.5692,603288
187,2023-02-20 14:00,78.93,79.14,79.17,78.86,3392.21,{},0.7321,603288
188,2023-02-20 14:15,79.14,79.97,79.98,79.09,7728.04,{},1.6677,603288
189,2023-02-20 14:30,79.98,79.99,80.1,79.74,9137.12,{},1.9718,603288
190,2023-02-20 14:45,79.99,79.89,80.04,79.82,5528.63,{},1.1931,603288
191,2023-02-20 15:00,79.9,79.79,79.91,79.79,5046.0,{},1.0889,603288
192,2023-02-21 09:45,79.79,79.69,80.09,79.5,8884.7,{},1.9174,603288
193,2023-02-21 10:00,79.71,79.67,79.99,79.66,4358.77,{},0.9406,603288
194,2023-02-21 10:15,79.67,79.73,79.76,79.48,4199.38,{},0.9062,603288
195,2023-02-21 10:30,79.74,80.8,81.0,79.74,10943.91,{},2.3617,603288
196,2023-02-21 10:45,80.85,80.85,81.1,80.6,6776.48,{},1.4624,603288
197,2023-02-21 11:00,80.85,80.52,80.85,80.38,2608.39,{},0.5629,603288
198,2023-02-21 11:15,80.51,80.1,80.66,80.06,4054.66,{},0.8750,603288
199,2023-02-21 11:30,80.1,80.45,80.5,80.1,2795.35,{},0.6032,603288
200,2023-02-21 13:15,80.45,80.62,80.77,80.36,2629.6,{},0.5675,603288
201,2023-02-21 13:30,80.65,80.61,80.66,80.52,1886.01,{},0.4070,603288
202,2023-02-21 13:45,80.61,80.73,80.76,80.35,2749.14,{},0.5933,603288
203,2023-02-21 14:00,80.7,80.5,80.7,80.42,2623.66,{},0.5662,603288
204,2023-02-21 14:15,80.5,80.54,80.6,80.35,3310.88,{},0.7145,603288
205,2023-02-21 14:30,80.54,80.52,80.6,80.48,2871.83,{},0.6198,603288
206,2023-02-21 14:45,80.54,80.68,80.72,80.52,4826.5,{},1.0416,603288
207,2023-02-21 15:00,80.68,80.6,80.8,80.55,4753.96,{},1.0259,603288
208,2023-02-22 09:45,80.59,80.58,81.23,80.42,8882.72,{},1.9169,603288
209,2023-02-22 10:00,80.51,80.5,80.68,80.24,4871.23,{},1.0512,603288
210,2023-02-22 10:15,80.45,80.8,81.11,80.45,4318.27,{},0.9319,603288
211,2023-02-22 10:30,80.8,80.9,80.92,80.68,2115.3,{},0.4565,603288
212,2023-02-22 10:45,80.9,81.29,81.3,80.88,4930.86,{},1.0641,603288
213,2023-02-22 11:00,81.3,81.09,81.3,81.09,2552.26,{},0.5508,603288
214,2023-02-22 11:15,81.09,81.08,81.12,81.02,1673.6,{},0.3612,603288
215,2023-02-22 11:30,81.08,81.08,81.13,81.01,1576.1,{},0.3401,603288
216,2023-02-22 13:15,81.08,81.04,81.1,80.82,3563.08,{},0.7689,603288
217,2023-02-22 13:30,81.05,81.16,81.17,81.0,3004.01,{},0.6483,603288
218,2023-02-22 13:45,81.2,81.14,81.2,81.1,2354.6,{},0.5081,603288
219,2023-02-22 14:00,81.14,80.83,81.14,80.83,1915.0,{},0.4133,603288
220,2023-02-22 14:15,80.84,80.83,81.08,80.8,2127.8,{},0.4592,603288
221,2023-02-22 14:30,80.82,80.82,80.88,80.7,2178.87,{},0.4702,603288
222,2023-02-22 14:45,80.82,80.68,80.9,80.68,3540.73,{},0.7641,603288
223,2023-02-22 15:00,80.68,80.69,80.79,80.68,4610.75,{},0.9950,603288
224,2023-02-23 09:45,80.69,81.63,81.64,80.68,8329.03,{},1.7974,603288
225,2023-02-23 10:00,81.63,81.28,81.94,81.22,6302.8,{},1.3602,603288
226,2023-02-23 10:15,81.28,80.41,81.28,80.41,5451.3,{},1.1764,603288
227,2023-02-23 10:30,80.4,80.61,80.72,80.29,2494.43,{},0.5383,603288
228,2023-02-23 10:45,80.6,81.11,81.22,80.6,1552.53,{},0.3350,603288
229,2023-02-23 11:00,81.11,81.16,81.4,81.02,1319.18,{},0.2847,603288
230,2023-02-23 11:15,81.16,81.3,81.3,81.07,1831.38,{},0.3952,603288
231,2023-02-23 11:30,81.3,80.8,81.3,80.8,894.89,{},0.1931,603288
232,2023-02-23 13:15,80.8,80.56,80.9,80.55,1869.4,{},0.4034,603288
233,2023-02-23 13:30,80.56,80.45,80.57,80.45,1636.35,{},0.3531,603288
234,2023-02-23 13:45,80.45,80.33,80.45,80.33,1675.38,{},0.3616,603288
235,2023-02-23 14:00,80.33,80.18,80.39,80.08,3338.25,{},0.7204,603288
236,2023-02-23 14:15,80.2,80.35,80.37,80.19,1496.86,{},0.3230,603288
237,2023-02-23 14:30,80.35,80.2,80.48,80.19,1708.39,{},0.3687,603288
238,2023-02-23 14:45,80.22,80.33,80.33,80.1,2640.47,{},0.5698,603288
239,2023-02-23 15:00,80.33,80.47,80.55,80.33,2574.18,{},0.5555,603288
240,2023-02-24 09:45,80.0,80.22,80.72,79.93,7079.49,{},1.5278,603288
241,2023-02-24 10:00,80.22,80.43,80.69,80.06,2487.55,{},0.5368,603288
242,2023-02-24 10:15,80.43,80.12,80.58,80.1,2696.8,{},0.5820,603288
243,2023-02-24 10:30,80.12,80.01,80.12,79.93,3618.79,{},0.7809,603288
244,2023-02-24 10:45,80.06,80.03,80.22,79.93,2552.95,{},0.5509,603288
245,2023-02-24 11:00,80.03,80.08,80.11,79.89,4013.94,{},0.8662,603288
246,2023-02-24 11:15,80.08,80.02,80.09,79.8,2256.73,{},0.4870,603288
247,2023-02-24 11:30,80.0,79.99,80.07,79.86,1150.24,{},0.2482,603288
248,2023-02-24 13:15,80.01,80.08,80.16,79.9,2235.63,{},0.4825,603288
249,2023-02-24 13:30,80.08,80.03,80.24,79.93,2124.36,{},0.4584,603288
250,2023-02-24 13:45,80.03,79.91,80.1,79.9,1323.53,{},0.2856,603288
251,2023-02-24 14:00,79.91,79.83,79.94,79.73,2234.1,{},0.4821,603288
252,2023-02-24 14:15,79.83,79.64,79.91,79.63,2543.46,{},0.5489,603288
253,2023-02-24 14:30,79.64,80.1,80.1,79.63,2200.97,{},0.4750,603288
254,2023-02-24 14:45,80.1,80.17,80.26,80.03,2211.0,{},0.4771,603288
255,2023-02-24 15:00,80.17,79.75,80.17,79.7,4520.55,{},0.9756,603288
256,2023-02-27 09:45,79.38,79.44,80.29,79.31,5052.41,{},1.0903,603288
257,2023-02-27 10:00,79.45,79.77,80.01,79.45,2247.16,{},0.4849,603288
258,2023-02-27 10:15,79.76,79.67,79.85,79.56,1574.33,{},0.3397,603288
259,2023-02-27 10:30,79.67,79.64,79.71,79.37,1937.1,{},0.4180,603288
260,2023-02-27 10:45,79.64,80.36,80.55,79.64,5581.43,{},1.2045,603288
261,2023-02-27 11:00,80.36,81.3,81.3,80.36,12434.81,{},2.6835,603288
262,2023-02-27 11:15,81.33,81.13,81.75,81.0,5644.53,{},1.2181,603288
263,2023-02-27 11:30,81.12,81.1,81.2,80.73,2974.57,{},0.6419,603288
264,2023-02-27 13:15,81.1,81.16,81.35,81.02,3738.73,{},0.8068,603288
265,2023-02-27 13:30,81.16,81.3,81.3,81.04,3394.21,{},0.7325,603288
266,2023-02-27 13:45,81.3,81.49,81.49,81.2,7263.7,{},1.5675,603288
267,2023-02-27 14:00,81.49,81.41,81.49,81.38,5166.4,{},1.1149,603288
268,2023-02-27 14:15,81.41,81.6,81.6,81.4,7201.76,{},1.5542,603288
269,2023-02-27 14:30,81.6,81.68,81.69,81.6,5326.77,{},1.1495,603288
270,2023-02-27 14:45,81.67,81.69,81.7,81.55,4551.34,{},0.9822,603288
271,2023-02-27 15:00,81.69,81.56,81.7,81.53,6507.57,{},1.4044,603288
272,2023-02-28 09:45,81.7,81.86,82.67,81.7,10798.73,{},2.3304,603288
273,2023-02-28 10:00,81.86,82.23,82.3,81.83,3556.22,{},0.7674,603288
274,2023-02-28 10:15,82.23,81.96,82.24,81.93,3081.24,{},0.6649,603288
275,2023-02-28 10:30,81.94,81.87,82.27,81.87,3973.46,{},0.8575,603288
276,2023-02-28 10:45,81.87,81.72,81.92,81.5,2863.43,{},0.6179,603288
277,2023-02-28 11:00,81.7,81.74,81.92,81.7,1655.82,{},0.3573,603288
278,2023-02-28 11:15,81.81,81.94,81.94,81.7,1192.89,{},0.2574,603288
279,2023-02-28 11:30,81.94,81.86,81.99,81.7,1175.7,{},0.2537,603288
280,2023-02-28 13:15,81.84,81.85,81.99,81.66,2549.91,{},0.5503,603288
281,2023-02-28 13:30,81.88,81.81,82.1,81.68,3176.8,{},0.6856,603288
282,2023-02-28 13:45,81.82,81.43,81.83,81.21,3158.46,{},0.6816,603288
283,2023-02-28 14:00,81.43,81.49,81.79,81.41,3068.47,{},0.6622,603288
284,2023-02-28 14:15,81.5,81.57,81.6,81.43,2873.76,{},0.6202,603288
285,2023-02-28 14:30,81.58,81.96,81.96,81.51,3476.36,{},0.7502,603288
286,2023-02-28 14:45,81.9,82.21,82.25,81.82,6584.59,{},1.4210,603288
287,2023-02-28 15:00,82.21,82.18,82.25,82.1,7591.75,{},1.6383,603288
288,2023-03-01 09:45,82.0,82.33,82.5,81.67,6107.16,{},1.3179,603288
289,2023-03-01 10:00,82.33,82.19,82.49,82.02,3024.38,{},0.6527,603288
290,2023-03-01 10:15,82.19,82.46,82.5,82.05,4994.26,{},1.0778,603288
291,2023-03-01 10:30,82.39,82.25,82.56,82.2,2969.21,{},0.6408,603288
292,2023-03-01 10:45,82.34,82.38,82.48,82.2,1929.83,{},0.4165,603288
293,2023-03-01 11:00,82.38,82.35,82.38,82.2,1294.76,{},0.2794,603288
294,2023-03-01 11:15,82.3,82.11,82.38,82.1,1513.66,{},0.3267,603288
295,2023-03-01 11:30,82.1,82.18,82.43,82.02,2251.42,{},0.4859,603288
296,2023-03-01 13:15,82.18,82.27,82.36,82.1,2019.26,{},0.4358,603288
297,2023-03-01 13:30,82.27,82.08,82.39,82.05,1425.0,{},0.3075,603288
298,2023-03-01 13:45,82.08,81.96,82.17,81.91,3289.82,{},0.7100,603288
299,2023-03-01 14:00,81.99,82.04,82.1,81.97,1524.03,{},0.3289,603288
300,2023-03-01 14:15,82.04,82.31,82.33,82.04,2592.78,{},0.5595,603288
301,2023-03-01 14:30,82.31,82.2,82.34,82.03,3678.05,{},0.7937,603288
302,2023-03-01 14:45,82.2,82.01,82.29,81.98,4933.3,{},1.0646,603288
